model,vector_size,window,training_time,vocabulary_coverage,clustering_ari,classification_accuracy,vocabulary_size
word2vec_cbow,100,5,0.47980761528015137,0.7028815977175463,0.0014844470640318652,0.5102040816326531,3205
word2vec_cbow,100,8,0.5101377964019775,0.7028815977175463,0.0002680949470697581,0.5102040816326531,3205
word2vec_cbow,100,10,0.4080374240875244,0.7028815977175463,-0.001403150762452015,0.5918367346938775,3205
word2vec_cbow,200,5,0.6646685600280762,0.7028815977175463,0.0014369225608334242,0.5102040816326531,3205
word2vec_cbow,200,8,0.697960615158081,0.7028815977175463,-0.00446624200194412,0.4897959183673469,3205
word2vec_cbow,200,10,0.5373377799987793,0.7028815977175463,0.005092300265525736,0.5816326530612245,3205
word2vec_cbow,300,5,0.6393671035766602,0.7028815977175463,-0.0012259702904979476,0.45918367346938777,3205
word2vec_cbow,300,8,0.5812482833862305,0.7028815977175463,-0.0004569166288087215,0.5102040816326531,3205
word2vec_cbow,300,10,0.6289081573486328,0.7028815977175463,-0.0014767765009880197,0.5612244897959183,3205
word2vec_skipgram,100,5,0.8267822265625,0.7028815977175463,0.0025486481171416797,0.5306122448979592,3205
word2vec_skipgram,100,8,1.1306705474853516,0.7028815977175463,0.00041197839085495817,0.45918367346938777,3205
word2vec_skipgram,100,10,1.3828213214874268,0.7028815977175463,0.00013091274719855434,0.5510204081632653,3205
word2vec_skipgram,200,5,1.1307010650634766,0.7028815977175463,-0.0011361209593304688,0.4387755102040816,3205
word2vec_skipgram,200,8,1.2619121074676514,0.7028815977175463,-0.0014924575321994902,0.5102040816326531,3205
word2vec_skipgram,200,10,1.4924051761627197,0.7028815977175463,-0.001811908755613739,0.47959183673469385,3205
word2vec_skipgram,300,5,1.2468194961547852,0.7028815977175463,-0.002736760967572566,0.6122448979591837,3205
word2vec_skipgram,300,8,1.7466604709625244,0.7028815977175463,-0.002346696117991199,0.6020408163265306,3205
word2vec_skipgram,300,10,1.896122932434082,0.7028815977175463,0.0034139907895990506,0.4489795918367347,3205
fasttext_cbow,100,5,3.292346954345703,1.0,-0.0008488697650214676,0.5612244897959183,3205
fasttext_cbow,100,8,3.350616216659546,1.0,-0.002381005717080314,0.5918367346938775,3205
fasttext_cbow,100,10,3.467100143432617,1.0,-0.0013288001306291555,0.5408163265306123,3205
fasttext_cbow,200,5,4.397887468338013,1.0,-0.0008882615374044834,0.6020408163265306,3205
fasttext_cbow,200,8,5.304309606552124,1.0,-0.00030773590121736425,0.5306122448979592,3205
fasttext_cbow,200,10,7.105525255203247,1.0,5.229064564940473e-05,0.5204081632653061,3205
fasttext_cbow,300,5,7.401103973388672,1.0,0.0027445292943342595,0.5204081632653061,3205
fasttext_cbow,300,8,18.60972261428833,1.0,-0.003381822522558457,0.4387755102040816,3205
fasttext_cbow,300,10,51.22519326210022,1.0,0.005773349674750247,0.6224489795918368,3205
fasttext_skipgram,100,5,4.5733373165130615,1.0,-0.0007048090110256095,0.4489795918367347,3205
fasttext_skipgram,100,8,18.517473936080933,1.0,0.0026309837841503275,0.4387755102040816,3205
fasttext_skipgram,100,10,19.131131410598755,1.0,0.0005981460125251581,0.4387755102040816,3205
fasttext_skipgram,200,5,15.559202909469604,1.0,0.002735710819156485,0.4489795918367347,3205
fasttext_skipgram,200,8,21.75787878036499,1.0,-0.004506468333823942,0.5102040816326531,3205
fasttext_skipgram,200,10,17.29836940765381,1.0,0.0011192646920750698,0.5306122448979592,3205
fasttext_skipgram,300,5,28.39776349067688,1.0,0.0003405105148789122,0.46938775510204084,3205
fasttext_skipgram,300,8,22.60007357597351,1.0,-0.003759928658345737,0.5510204081632653,3205
fasttext_skipgram,300,10,27.728047609329224,1.0,-0.0012172032944599395,0.47959183673469385,3205
doc2vec_pv_dm,100,5,4.435515642166138,1.0,-0.00040114128147757236,0.5714285714285714,3205
doc2vec_pv_dm,100,8,2.1479477882385254,1.0,-0.00396286699293403,0.47959183673469385,3205
doc2vec_pv_dm,100,10,1.7825767993927002,1.0,0.0014666750476669392,0.5,3205
doc2vec_pv_dm,200,5,2.2339820861816406,1.0,-0.000536570633278353,0.4897959183673469,3205
doc2vec_pv_dm,200,8,1.9883246421813965,1.0,0.0035881459283456044,0.5102040816326531,3205
doc2vec_pv_dm,200,10,1.789489984512329,1.0,-0.000644568187269519,0.5204081632653061,3205
doc2vec_pv_dm,300,5,2.189486503601074,1.0,0.00263834738141135,0.5408163265306123,3205
doc2vec_pv_dm,300,8,2.1057286262512207,1.0,-0.0022270194893589854,0.47959183673469385,3205
doc2vec_pv_dm,300,10,1.9587905406951904,1.0,0.0045507514996317305,0.5204081632653061,3205
doc2vec_pv_dbow,100,5,1.664957046508789,1.0,-0.0007164238380610197,0.4387755102040816,3205
doc2vec_pv_dbow,100,8,1.6648507118225098,1.0,0.0005224843781005483,0.4897959183673469,3205
doc2vec_pv_dbow,100,10,1.551459550857544,1.0,-0.0008894999547824143,0.5,3205
doc2vec_pv_dbow,200,5,1.5841591358184814,1.0,6.312139339811687e-05,0.42857142857142855,3205
doc2vec_pv_dbow,200,8,1.608077049255371,1.0,0.0028006490496452255,0.5714285714285714,3205
doc2vec_pv_dbow,200,10,1.462934970855713,1.0,0.005904893493016113,0.5,3205
doc2vec_pv_dbow,300,5,1.3973674774169922,1.0,-0.0008509595147044936,0.47959183673469385,3205
doc2vec_pv_dbow,300,8,1.579998254776001,1.0,-0.0006104919385502865,0.5918367346938775,3205
doc2vec_pv_dbow,300,10,1.4992330074310303,1.0,-0.002547085536189282,0.47959183673469385,3205
